Gene1	Gene2
P46778	P62249
P62829	P62249
P83731	P62249
P61513	P62249
P46777	P62249
Q02878	P62249
P62917	P62249
P25398	P62249
P50914	P08708
P84098	P08708
P46778	P08708
P62899	P08708
Q02878	P08708
P05387	P08708
P62841	P62269
P50914	P39019
Q07020	P39019
P62899	P39019
Q02878	P39019
P62424	P39019
P62277	P39019
P62249	P39019
P62906	P60866
P36578	P60866
Q02878	P60866
P62906	P63220
P62913	P63220
P26373	P63220
P50914	P63220
P46778	P63220
P62829	P63220
P83731	P63220
P62899	P63220
P61513	P63220
Q02878	P63220
P62249	P63220
P08708	P63220
P27635	P62266
P84098	P62266
P62750	P62266
P83731	P62266
P62910	P62266
P18124	P62266
P25398	P62266
P62277	P62266
P62906	P62851
P62913	P62851
P30050	P62851
P61313	P62851
P18621	P62851
P84098	P62851
P46778	P62851
P46776	P62851
P61513	P62851
Q02878	P62851
P62424	P62851
P05387	P62851
P61313	P62854
P18621	P62854
Q07020	P62854
P47914	P62854
P62910	P62854
P61513	P62854
P39023	P62854
P36578	P62854
Q02878	P62854
P62424	P62854
P18124	P62854
P32969	P62854
P05387	P62854
P39019	P62854
P62906	P62979
Q07020	P62979
P46777	P62979
P62424	P62979
P39019	P62979
P62854	P62979
P62906	P62857
P61313	P62857
Q07020	P62857
P46778	P62857
P62829	P62857
P83731	P62857
P61513	P62857
P62424	P62857
P62249	P62857
P39019	P62857
P27635	P15880
P30050	P15880
P26373	P15880
P61313	P15880
P18621	P15880
P62424	P15880
P18124	P15880
P62917	P15880
P25398	P15880
P39019	P15880
P62851	P15880
P62906	P61247
P26373	P61247
P61313	P61247
Q02543	P61247
P46777	P61247
P62424	P61247
P62266	P61247
P62851	P61247
P62854	P61247
P46777	P23396
P62280	P23396
P62249	P23396
P39019	P23396
P62857	P23396
P68104	P62701
P27635	P62701
P62913	P62701
P30050	P62701
P26373	P62701
P18621	P62701
Q07020	P62701
P84098	P62701
P62750	P62701
P83731	P62701
P62899	P62701
P62910	P62701
P39023	P62701
Q02878	P62701
P62424	P62701
P62917	P62701
P32969	P62701
P62249	P62701
P39019	P62701
P63220	P62701
P62854	P62701
P15880	P62701
P62906	P46782
P30050	P46782
P61313	P46782
P18621	P46782
P84098	P46782
P46778	P46782
P62888	P46782
P62899	P46782
P46777	P46782
Q02878	P46782
P62424	P46782
P32969	P46782
P62280	P46782
P62277	P46782
P62244	P46782
P62249	P46782
P39019	P46782
P62847	P46782
P61247	P46782
P23396	P46782
P62701	P46782
P62906	P62753
P62913	P62753
P30050	P62753
P26373	P62753
P50914	P62753
P61313	P62753
Q07020	P62753
P84098	P62753
P46778	P62753
P46776	P62753
P62899	P62753
P62910	P62753
P63173	P62753
P46777	P62753
Q02878	P62753
P18124	P62753
P62917	P62753
P62263	P62753
P62851	P62753
P23396	P62753
P46782	P62753
Q07020	P62081
P84098	P62081
P61513	P62081
P18124	P62081
P62263	P62081
P62266	P62081
P62701	P62081
P62753	P62081
P05387	P62241
P62277	P62241
P62263	P62241
P39019	P62241
P60866	P62241
P63220	P62241
P62851	P62241
P62854	P62241
P62857	P62241
P15880	P62241
P62701	P62241
P62906	P08865
P62913	P08865
P30050	P08865
P26373	P08865
P50914	P08865
P18621	P08865
Q02543	P08865
Q07020	P08865
P84098	P08865
P62829	P08865
P83731	P08865
P61353	P08865
P47914	P08865
P62888	P08865
P62899	P08865
P39023	P08865
P36578	P08865
P46777	P08865
Q02878	P08865
P18124	P08865
P62917	P08865
P62244	P08865
P62249	P08865
P08708	P08865
P62851	P08865
P23396	P08865
P46782	P08865
P62753	P08865
O94906	P62314
O94906	P62318
P51531	Q92922
P51531	Q8TAQ2
P51531	Q12824
P14868	P41252
P78371	P50991
P78371	P48643
P78371	P49368
P49368	Q99832
P48643	P50990
Q99832	P50990
P78371	P40227
Q99832	P40227
Q9NQT5	Q01780
P62913	P62888
Q9BUI4	Q9H1D9
P62913	P61247
P62195	P28072
P15880	P62753
P05386	P62277
O15144	O15145
P15880	P61247
O15143	P61158
Q9UHV9	O15212
P62899	Q02878
P36578	P18124
P17980	P49721
P43686	P28074
Q8TAA3	P48556
P08708	P62266
P62277	P62753
P17980	P48556
P36578	P61247
P63220	P62854
P14868	P56192
P62277	P62841
O15514	P36954
P48444	P61923
P27635	P08708
P18124	P23396
P62906	P36578
P18621	P62753
P62277	P63220
P62244	P62266
P62841	P15880
P46778	P08865
P62244	P62249
P62851	P62857
P62979	P62701
P46776	P23396
O00232	P55036
P62244	P08708
P14868	P07814
Q13888	Q13889
P62851	P62701
P53621	Q9Y678
P62750	P62910
P62424	P62753
P27635	P46778
P25398	P39019
P46782	P62081
P62195	O00487
P14868	P54136
P05387	P63220
P39023	P62753
P39019	P61247
P26373	P62851
P26373	P62857
P62906	P18124
Q9P2I0	Q9UKF6
P05386	P62244
P18124	P63220
P62081	P62241
P62750	P62280
Q07020	P25398
P62913	P46782
P62906	P62854
O94906	Q6P2Q9
P62244	P62847
