Gene1	Gene2
Q9UHA4	Q9NX14
O75531	P22087
O75494	Q86W42
Q99460	O95486
O14617	O43719
P15374	Q93008
P54105	Q04323
P02533	P12035
P51665	Q16762
Q9BYN0	P21281
P55769	Q9Y5H9
P68104	P14866
O43181	Q9P015
O60563	Q8WVC0
P78527	Q86W42
Q96IR7	P20645
Q14254	P61019
P30405	Q6P1L8
P48382	Q96EL3
P46087	P62701
Q6P2Q9	Q15020
O14828	Q9Y5M8
Q15393	Q5JTD0
P49588	P22314
P30405	O75152
Q16181	Q13641
Q9HCE1	P20339
P55809	Q9P2R7
Q9BRA2	Q9Y6I4
Q9UMS4	Q9BYV6
O00217	Q15526
P31040	Q02127
P54578	Q9H9H4
P20645	O43181
P07910	Q15050
Q5SSJ5	P42167
P49411	Q969G5
P30086	Q06830
Q9Y383	P62701
P49792	Q2TAY7
P07910	Q53GS9
Q9P2N5	Q01995
Q15811	Q6PGP7
Q6N069	P23193
Q15233	P11234
Q14197	P39023
O75955	Q9UP95
Q6IBS0	Q9BSL1
P06733	P04406
P30041	P61586
Q9H845	O43678
O95104	P18206
Q16181	Q02880
Q13769	O43818
Q9Y5X2	Q9Y5K8
Q14103	P52815
P36543	P67809
Q96CS3	Q9H936
P19105	O95168
Q8N4V1	Q56VL3
P43243	Q9Y3A4
Q9Y247	Q9Y3D3
P19105	P82921
Q9UHB4	Q15477
Q9Y546	O43776
O43143	Q8IUX1
Q13405	Q53S58
Q15393	Q05086
P35659	Q9BRP8
P50454	Q9BYJ9
P46937	Q96K21
P20585	P52701
Q00796	P46060
P30041	P38606
P04216	Q9Y277
O14979	Q9Y3U8
P05387	P51991
Q12906	P62834
O43819	Q9Y277
Q08J23	P62979
P07602	O00161
P62736	P35580
Q9UHA4	Q9NS69
Q15637	O96008
P19338	P39019
Q96DM3	Q9NVE7
B0I1T2	P11233
P82675	Q9BTV4
Q9BTF0	Q9ULW0
Q9Y3C4	Q9NXH9
P11474	Q8NI36
Q6IQ26	Q9H0D6
P11474	Q8WXB4
P55769	P46782
Q16540	Q99757
Q8IWX8	P16499
P32969	P82664
Q12906	P14923
P10809	P11142
Q06830	P00441
P45974	P98170
P19404	Q9BVK6
Q15459	Q13641
Q9UKV3	O60641
Q9UKV3	Q9UH62
Q92520	Q96EY7
Q9H9J2	Q2NL82
P06702	Q86VM9
Q86W42	P46939
Q71UM5	P08865
Q16181	P62995
Q9UBX3	Q9P0J0
Q9UMX0	P21281
Q9UHX1	P18583
Q15599	P01112
Q92499	P62136
P35579	P62491
P19022	P11498
O00422	Q9Y2W1
P11142	Q9Y512
O95104	Q3ZAQ7
P20671	P23396
Q93009	P63027
Q9NQT4	O75475
O60232	O43399
O60232	O95155
Q14694	Q9Y4E8
O60232	P15374
Q86W42	Q5BKZ1
Q9NPG3	Q8WXB4
Q12905	Q16540
P06576	Q07020
O75477	O94905
P52272	Q6NUK1
P55809	Q03405
P31040	O94826
Q15233	P03915
P22087	Q9BYG3
Q92499	Q96RW7
Q99622	O95202
Q8WVJ2	Q9NUG6
Q8WVJ2	Q99614
P09960	O00488
Q8WVJ2	O00488
Q8WVJ2	O75312
Q9UHD9	O95218
Q8IUF8	Q6N069
Q12905	Q9NZM1
Q15019	P62995
Q9BYG3	P62913
Q07955	Q8TAD4
Q8WYA0	Q13099
P19387	O15318
Q92542	O14975
P11021	O15260
O75533	P07814
P26641	Q14315
P49411	P82664
P55809	Q9NX18
Q9UKD2	P62899
P31040	Q03518
Q01581	Q86TG7
Q00325	O75431
Q92499	O60568
Q12905	Q969G5
Q00325	Q8IX01
Q07021	P51688
Q53GS9	Q9BYV6
P38606	P55060
Q92542	Q9P258
Q969X6	Q8TED0
P24534	P12270
Q14318	Q15526
Q9UHA4	Q04837
O95182	P09234
Q12906	Q9NSE4
Q13435	P09493
Q8NFJ5	P13984
P63146	Q9UMX0
Q14152	Q99733
P06702	Q9BXP5
Q96L21	P61513
O75533	Q9UNL2
P20645	P61513
Q9Y3E5	Q8TCJ2
Q9Y617	Q9BWD1
Q9BWJ5	Q8N5G0
O60506	Q15056
Q14204	Q9NRL3
Q96PK6	Q02880
P23246	Q9Y2W1
O43464	Q9Y5J7
Q14004	Q16539
Q92620	P60866
Q13151	P23396
P20671	P18124
O43852	Q16643
P84098	Q7KZF4
Q9UI09	Q9P015
Q9NUL7	O60245
Q12906	Q8N4Q1
Q15843	Q16762
P31040	Q9NUH8
Q9NX20	Q53S58
Q96FQ6	Q5JTV8
O15067	Q8IWV7
Q70CQ2	P15374
P12235	P0C7P4
Q04323	Q9C0B0
Q9Y3C8	Q9C0B0
O94888	P21281
Q9Y6N9	Q9GZS3
O94888	Q96K21
Q15459	Q5BKZ1
O15067	O00488
P22234	O75312
Q9Y3C8	O75312
Q9UMX0	O95218
Q14197	Q8IXM3
P47985	O95292
P07910	Q13595
O43290	P12270
P10809	Q9UHD8
Q12906	Q9NYK5
Q13895	Q9UNX4
P62244	O60783
P61978	Q9UKN8
O75351	P46937
O14979	Q15056
Q9NS91	P62906
Q9UQ80	Q8NC51
P19338	O00287
Q969G5	P46778
Q12905	Q8N5N7
Q969G5	P62249
Q01844	P82933
O43175	Q08945
O00584	Q96I99
Q969G5	Q9NP81
Q9NUQ3	Q9Y6I4
O75400	Q9BVJ6
P04818	Q9BQ24
P31040	Q9Y241
P04908	Q08945
P11021	P61106
Q9H8Y8	Q15233
P13473	P07814
P06702	Q9Y5B9
P62841	Q93050
P61978	Q9C0C2
P07900	P09651
Q13724	Q9NZ01
P11586	P41219
Q96PK6	P09661
Q96PK6	Q15459
Q16181	O60264
Q12906	P07919
O43396	Q93009
P10809	Q9H5V9
O43852	Q8N766
Q9Y2X3	Q8IY81
Q96BR5	Q9NX18
O95486	Q99611
O95486	O60232
Q96IR7	P16949
Q96IR7	Q9P2R7
O95486	Q6YHU6
P41229	Q9BU02
Q96IR7	Q53S58
Q15046	Q9NXH9
Q15436	Q14166
Q2TAY7	P04004
P61088	Q9H267
P49411	P62854
Q13769	P46939
P19022	O00267
Q86TB9	O43290
Q93009	O43592
O75489	Q15526
Q8NHW5	P26639
P62917	Q16540
Q9UBS4	P00491
Q07955	O15260
Q92887	P61106
Q9H0H0	O95219
P26639	P48643
P22392	P00441
Q00839	Q14739
O14979	Q8ND56
Q9H9Y6	Q2NL82
P62917	Q99757
P61011	Q13426
P63173	Q96EL3
P46783	Q9UM00
P32119	A6NL28
Q9BRA2	P62256
O95801	Q86VN1
P49441	Q9GZL7
Q9Y5K5	Q9GZS3
O43143	P06702
P68036	Q9BXU7
Q12792	Q04323
P28074	P09661
Q6P2Q9	Q02878
P68104	Q9BQ15
P68400	Q6PD62
Q07021	Q15021
Q9BTM9	P18206
Q93009	Q6NZY4
P84103	P47985
Q99798	P24752
O75937	P62834
P04040	P51659
Q13243	Q9UI30
P20810	O75475
Q96A26	Q6NZI2
O43390	Q6P1L8
P52272	Q5VYJ4
Q9H9B4	Q9NUH8
O75844	Q9UI12
P51668	P46939
O75475	P62847
P13473	P06748
P14927	P62829
Q16531	Q13242
P30041	P60174
P50225	P09493
P60228	Q99733
P63146	Q16864
P39210	P11233
O94953	Q2TAY7
Q9NXH9	P15313
Q16531	Q5VSL9
Q12906	Q9P2E9
Q15233	P54886
Q8WUM0	P07602
Q9H2U1	Q96AE4
P55809	P53597
P29558	P39019
P17568	Q9P0U1
O15067	P54578
Q06830	Q9BTM9
O00422	Q01081
P31040	O75306
Q9NR30	Q12857
P49721	P49459
O00410	Q92973
P40222	Q9H0D6
Q8NI27	Q9P016
P08574	Q02127
Q9H845	P63027
Q14204	P13010
Q08211	P50402
O60832	Q9Y2X3
P28370	P51532
Q15393	P23246
P07910	A1L0T0
P56537	Q96PK6
P56537	P62899
Q5T8P6	O75575
Q99848	Q8IY81
Q10471	P82675
Q12906	Q92552
Q969G5	Q9H9B4
O15355	Q9UMY4
O15355	O60493
O15355	P35270
O15355	Q9BYN0
O15355	P42226
Q969G5	P78371
O15355	P52888
Q9HD47	Q9NXG2
Q9Y570	Q5JTD0
O15355	Q04726
O15355	Q8N5M4
O15355	O00762
Q70CQ2	Q9UHD9
Q70CQ2	Q04323
Q9UHA4	O43298
Q70CQ2	Q96K21
P84103	Q8N9F8
P55809	O95104
Q96FQ6	Q9P2R7
P46940	P35580
Q14137	Q9Y2X3
O43396	O43592
Q8IXI1	P20339
Q14197	Q4U2R6
O43678	O60493
P10809	P04406
P41252	Q9Y490
P43686	P68366
Q96FQ6	Q16762
P30405	Q9P2E9
Q14318	Q9Y3B7
Q13242	P50552
P11021	P08621
Q15424	Q16629
P55081	P61927
P63244	P36578
P50995	Q15833
O43390	P39210
Q15233	O15164
P15170	Q13813
P50395	P62820
Q15019	Q9BVJ6
Q15019	Q5BKZ1
P31943	P07947
Q14315	Q8WUM0
O95182	O43819
O75400	O00422
Q9Y3A5	Q9UQ35
Q05519	Q13641
Q8IXI1	P62854
P52272	Q9Y5B9
Q92520	Q9P0U1
P84098	Q15185
Q15393	Q96EA4
P52272	Q8NHW5
Q96FQ6	O95292
Q14197	Q7Z7F7
Q9Y265	O60264
P43243	Q9UMR5
Q12905	A9UHW6
P60981	P06454
P33527	Q9NRX2
O15355	P50225
O15355	Q93045
P82979	Q9Y4P3
Q15742	Q9Y490
O75489	Q9P0S9
Q9Y312	O75643
Q9Y5M8	P68036
Q9Y5M8	O95155
Q9Y5M8	Q9Y277
P52272	Q9P2E9
Q13724	P37198
Q9Y2Q9	Q01085
Q86W42	Q9BYV6
P49756	P23193
Q92542	O75934
Q8WX93	P49591
O00303	Q15800
Q15654	O00762
Q12906	Q9BVL2
P54105	Q14671
P51668	Q16864
Q12906	P82673
P08238	Q8NHW5
P14927	P62913
Q12906	Q04941
Q96QV6	Q96A08
P54105	Q15843
Q58FF8	Q9UKM9
Q58FG0	P18621
P62736	Q9HD33
Q9BSU1	P35237
O43175	Q9Y2W1
P57772	Q86TN4
P49459	Q9C0B0
P63146	Q9C0B0
Q15459	Q9BVJ6
P09661	Q6EMK4
Q86V81	Q9P2L0
P49459	O75312
P13473	P12004
P13473	Q9Y3B4
P61978	P67936
Q14258	Q16763
Q9BYG3	P62899
Q15637	Q9Y5M8
O95071	Q8TED0
P17661	Q9BUJ2
P52272	P08865
O94782	O75436
P28066	O75368
O43678	Q9BQ15
O95182	Q9BQ15
P83876	Q8IWB7
P08174	P17568
Q14204	Q14315
P50454	Q9BVK6
Q9HB71	Q13151
P78527	P62280
Q16629	Q8TCJ2
Q96BR5	Q96AY3
Q86YQ8	Q9Y2Q5
Q9NS86	Q7L1V2
Q96BR5	P11717
Q92542	P46087
Q00839	P29803
O00115	O60313
P60891	P11908
Q06323	Q7Z6E9
P31689	P07602
Q92665	P82979
Q99622	O00161
O60232	O14965
Q04837	Q9BQE3
P11586	Q9HC07
P55036	O43399
P41223	Q9BYV6
Q12874	Q7Z2W7
Q06323	Q96S82
O60232	O75436
Q96BR5	O75717
P61088	Q9C0B5
P31040	P55809
O00571	Q8WUM0
Q99460	P27708
P68104	Q13492
P19022	P51571
P04179	P11441
Q92542	Q9Y5H9
Q92542	Q13641
Q53HV7	P13051
P20585	Q6GQQ9
Q12905	Q9UQ35
Q12857	P62847
O43143	Q9H4L4
Q9C005	P49790
P62277	Q71UM5
Q14137	P22087
Q92499	Q14108
Q12792	Q8NBS9
P52272	P04004
P13639	P60842
Q9NP58	O96008
Q92542	Q12789
Q9BU61	O00217
Q13724	P20339
P04818	P63146
O43396	Q9BTM9
P52272	P18754
Q9BWM7	Q15526
P39210	Q9BWM7
Q9NWU5	P62269
P35998	Q6NZY4
A6NK07	P20042
O60610	Q12965
O75607	P06748
Q9Y4J8	P37198
Q02878	Q9NQ39
Q96IR7	Q9BSH4
O60232	Q9BUF5
O43175	Q9BYV6
Q9UHA4	P0C7P4
P61313	Q6EMK4
P62750	Q6EMK4
P32969	Q6EMK4
O43175	P04004
Q96S82	O95218
P24534	P49790
Q15436	P63146
P31943	O14773
P04216	Q01085
P43246	Q16629
Q9NRR5	O75351
P30876	P68371
Q9H2H8	Q9BRT9
Q15056	P84103
Q16629	Q99805
P60900	Q15459
P06733	Q14315
Q96PK6	Q05519
Q92542	P06702
O60346	Q9UNH7
Q12906	Q99623
Q06830	P32119
P43243	Q9UJZ1
Q15819	O75436
P54105	O43399
Q8IWZ8	P27105
P35998	P07437
P45880	Q96KR1
O75955	Q96G23
Q9BQG0	Q9Y3C1
P30405	Q96EL3
Q96EL3	O60493
Q96KG9	Q68D10
Q8N5N7	Q96I99
O43175	O14776
O43175	Q12789
Q15005	Q9P0S9
Q96EL3	Q8TAP9
Q5T4S7	Q93008
Q16181	Q6EMK4
O43175	Q6EMK4
P38606	O00488
Q9UMS4	Q96PK6
Q9H0U3	Q02878
Q9Y3B4	P04004
O15116	O43172
Q96L21	P61353
Q9UHA4	Q13421
Q00839	Q13595
Q9UHD9	Q93008
Q12792	Q9NQW7
Q96TC7	P38606
Q9BYG3	P61313
P50225	P63146
O00762	Q93008
Q9BYG3	P55769
P62826	Q14498
Q14204	Q96S59
O43678	P09234
P60981	Q9NY33
Q9UK76	P52292
Q9BYG3	P46087
Q9NVP1	O94906
Q8IVD9	Q92600
Q12906	P82675
P30405	Q9GZT3
Q8IVD9	Q96H20
P54727	P35270
Q9NXG2	Q9BV44
Q9H3U1	P55060
P18206	Q96H79
P52272	Q15050
P06702	P18583
P61353	Q8NHW5
Q9NVA2	P18887
P23284	P29558
Q16181	P37108
Q13112	P12004
P62333	Q9Y265
P45974	P15374
P50454	Q92783
O75400	Q15050
O43819	P04216
Q92542	P62316
P54105	O00625
P13473	O75934
P78318	O15212
O75937	Q9Y237
Q12906	P82933
P19022	P46778
P19022	P39023
P19022	P62917
P11021	Q04837
Q13011	O60313
P60866	Q71UM5
P50750	Q16763
Q9H0S4	Q9NPD3
Q9BVP2	Q9BYG3
O94905	P08729
O75844	P17568
Q96T58	P07738
Q12906	Q9BYD6
Q96EL3	Q9P2E9
Q9NQ39	P62847
Q96EL3	P62857
Q96EL3	P09234
Q96EL3	O15400
Q96EL3	Q01995
Q96EL3	O43615
Q96EL3	P63279
Q99614	Q04323
Q7Z2T5	Q99986
Q53GS9	Q86VM9
P51668	Q15386
P40925	P30041
P00558	P68366
Q14103	P62857
P22307	P29558
Q06830	P46937
Q00325	O00330
Q15436	Q93008
O75955	Q96QD8
P06702	Q13243
P78318	Q9NY27
P25705	Q9UJZ1
P78318	Q9Y266
P78318	Q9BPZ3
P78318	Q9NRX4
P78318	O60664
P78318	Q9UGI8
P78318	Q9UHD9
P78318	P46937
P78318	O75340
P78318	Q96RN5
P78318	P31948
P78318	P04818
P78318	P26447
Q8IWZ8	P45880
Q9Y5M8	O96008
Q9HCE1	Q12965
P12429	Q12846
Q9HCE1	P82921
P21333	P09382
P15313	Q8TAD4
P49821	Q04721
Q15637	Q9Y277
P33527	Q9Y6M9
Q969X5	Q96CS3
Q01844	O00165
Q5VT66	Q9H0N0
P08574	Q9BYD3
P84103	Q96NB2
Q96EL3	P09110
Q8IX01	Q9Y5J6
Q96EL3	P52758
P50454	O43615
Q12906	P82664
Q96AE4	P08648
O94913	Q9NQ66
Q92542	Q08945
Q92887	O94826
Q9NQ50	Q8WVM8
Q9Y3B4	P12270
P62158	P63027
Q92804	P12270
P50995	P12429
Q13895	Q9NRX1
P15924	P54819
Q92542	P62081
Q00325	P56181
P04040	Q13586
Q92542	Q13123
Q15233	Q9NYK5
O43660	Q96PK6
O95400	Q9BZK7
Q99622	Q8IXS6
Q9GZT8	Q8IXS6
P62244	Q9UBT2
P61978	Q15020
Q05086	P54578
Q05086	Q9H3U1
Q16643	Q9UPT8
Q15599	P61916
P08238	P15880
Q8IYW5	Q8NBT0
Q92887	Q9BZE1
P78318	Q07955
Q16540	P23396
Q7KZN9	O43181
O75955	Q9Y3E5
Q16531	Q8WUM0
Q96PK6	P35251
Q96PK6	Q14683
O75400	Q13595
O75955	P24752
P08574	Q9BU61
Q92542	Q92785
P38646	Q8NFJ5
Q9UMR5	P51571
Q9BQG0	Q7KZF4
Q9Y3A5	P27105
Q9BYG3	P36578
Q9UHA4	Q8NF37
P62701	Q01081
Q8IVS2	P06756
P41250	P54136
Q92616	P24752
Q71UM5	P61247
Q99584	Q13043
Q8WVJ2	Q15185
P50225	Q15654
P78318	P37802
P28066	P04818
P46019	Q96T76
P34931	P17568
P46019	Q12768
P11586	Q96CS3
Q9NPJ3	P35658
Q96E11	Q9GZT3
P52272	Q5BKZ1
P52272	Q9Y5H9
Q9Y3D3	Q04837
P52272	P02545
Q13404	P15374
Q92542	O60264
Q92542	Q12824
Q15233	Q8WUM0
P54727	P62306
O43390	Q12789
Q96FF9	Q6N069
Q96S52	P15313
P51659	Q9UBQ7
P19784	P11388
P62136	P04004
Q14562	Q86TC9
Q00325	Q8N5N7
Q9NPG3	Q8NI36
Q9NXG2	P46937
O00442	Q7Z2W4
P06702	Q9BYV6
Q00839	Q15233
P53041	Q9Y2L1
Q9UMR5	Q16540
Q13724	P61224
Q86V81	Q9NYU2
Q9UMR5	P46778
P08238	P62266
Q9H9B4	Q9BWM7
Q9P2I0	Q969F1
Q9NX14	O15260
Q9NUL7	Q9UI12
Q8IXI1	Q15070
P68104	P28070
P17661	P47914
P54105	Q93052
Q15165	P62834
Q15165	P27105
Q92769	Q13242
Q9P0T7	Q9UBQ0
O43390	Q07666
Q12906	P04843
P33527	P62081
P06702	Q16629
P13473	P07437
P20700	Q92542
O60216	Q13573
Q8TBC4	Q9Y3C8
Q9BSL1	Q9NYH9
Q14166	O75351
O95155	O75312
Q14166	Q15942
P78318	P14174
Q00839	P41219
P61011	Q01664
O60563	P21675
P45984	Q16512
P30101	P08670
P39210	Q9NQ50
Q14677	P46777
P52272	Q9UQE7
Q8IXI1	O75251
O75691	Q9P253
P52824	Q9H4M9
Q16630	Q15233
Q14204	Q8WUM0
Q9BWU1	Q9BYG3
O75380	Q15843
Q92887	Q9BQC6
Q96BR1	Q9P2J5
Q8IWZ8	Q01995
P30044	P63165
Q9BYN0	P07951
P50225	P21281
Q92520	P39210
Q16181	O15260
P27708	Q9Y265
O00422	Q12789
Q9BYG3	Q9Y2X3
Q9GZR7	Q9ULG1
Q00325	Q93050
Q9Y265	P28370
Q15291	Q92925
Q00839	P62854
Q00610	Q96EY1
P19404	P61916
Q12906	P08621
Q15717	P62857
P20671	P62753
P11474	O94829
P11474	Q86YS7
P13797	Q15008
Q9Y3E5	P15880
P20645	A8MWD9
Q13405	Q8WVM8
Q12906	Q9GZT3
Q96IR7	Q13428
P62854	Q9HC07
Q14166	O00762
P04818	O94888
P51668	O94888
P68036	O94888
Q13404	O94888
Q16629	Q6EMK4
O95801	O75436
Q99614	Q96K21
Q99614	O95218
Q14011	P13861
Q3LXA3	Q8NFF5
P49720	Q15459
Q02878	Q71UM5
P23246	Q02880
Q99459	P23396
O00567	Q6NZI2
O95425	P18206
P13473	Q92542
P60900	P48643
Q92887	Q9Y6M9
Q9Y3B4	Q13595
P62979	Q9Y3F4
Q14254	Q8N4V1
Q9H845	P43307
Q92542	O43290
Q93052	Q9NVS9
P11021	Q9UQ35
Q6I9Y2	Q8TBF4
P60953	P62834
Q99622	P02452
Q14562	Q9Y3D8
Q96IR7	Q3MHD2
Q9Y6V7	Q9NRX1
P13798	Q4J6C6
Q9UHL4	Q13228
P82979	O15400
Q9NQR4	Q5JTV8
O43396	P62256
Q14166	Q9C0B0
Q00839	P48059
Q9P0W2	Q9Y535
P09622	P22695
O95155	Q16864
P10809	Q9HCC0
O00161	Q9UHD9
Q9UHD8	P63027
P55769	P08865
O75369	P55072
Q14204	Q13242
P51608	Q01831
Q15637	Q13586
Q12857	O15260
Q14247	P04216
P14923	Q15149
Q12906	Q9HCE1
O60493	Q9Y5M8
Q16643	P67936
Q9UKV3	Q03135
Q92542	Q9UI30
Q9NYV4	O15164
P08238	P60842
P23588	P35579
Q00839	Q9Y2Q9
Q00839	Q2TAY7
P39019	O15400
O75844	Q9BTV4
O00231	Q9Y606
Q9GZT3	P26368
P09622	Q5T6F2
O75844	P0C7P4
Q92542	Q9BV38
Q14318	Q96TA2
P23284	O43615
Q9NRK6	O43678
O43678	P63279
P11142	P53992
Q9BYC8	Q2NL82
O43390	Q8WWI1
P21333	Q12905
Q9NPD3	O75475
Q9BRA2	P45974
P15924	P49768
Q04941	Q9BWM7
P10599	O75083
Q8IUD2	P61421
P41250	O43776
P09661	P12270
Q13423	P62072
P15313	Q9H267
Q16626	P49790
Q9Y399	Q04837
P50225	Q99614
P50225	Q70CQ2
P51668	Q70CQ2
Q70CQ2	Q9NRR5
P62837	O94888
Q70CQ2	P21281
Q9NP77	P18206
O60506	Q96I51
O75628	O43709
Q9BWU0	Q8TF74
Q6UWE0	Q9BYJ9
P04179	O75152
O95785	Q9UPT8
Q9UHD9	Q96K21
Q12906	Q9BYD2
P13473	Q15424
Q9NX18	P18206
O43172	Q9BUR4
O75396	Q9P2R7
P11021	O43504
O75494	Q8N1G0
Q99729	Q9Y2R9
P11021	Q1KMD3
Q00839	Q12789
Q14254	P43307
Q9UNE7	Q15819
Q7KZN9	P00403
Q16643	P05388
Q99729	P82663
P04792	Q8TCS8
O60341	Q3ZCQ8
P49756	Q16637
O75533	Q08945
O75396	Q15942
Q99733	P19338
O95155	Q86VN1
O75475	Q02878
Q9NVA2	Q96ST3
Q15084	P50454
P49755	P63027
Q02218	Q8IXM3
Q92804	Q9UHR5
Q9H0B6	Q86TB9
P08174	P39210
P10644	Q8WWY3
Q12906	O95758
Q96A35	P62841
Q9UMX5	P62241
Q8IWV7	P18206
O60346	O43709
Q8NBS9	P55060
P61599	Q9H9Q4
O43818	P08670
P35580	P62491
P39210	O95168
Q12906	O43678
P09661	P04004
P49821	P16949
O43390	Q16540
P82979	Q9Y5M8
Q96FQ6	P62987
P49411	P07900
P08758	P12081
Q92616	Q16718
P35240	Q12972
P08238	Q9UJZ1
P68104	Q04837
P22307	Q9Y277
Q06830	P06753
P50416	Q99613
P09001	P62269
P51991	P62277
P49458	Q15185
O60506	Q3ZCQ8
Q5VSL9	Q99575
Q99623	P31930
Q16611	O96008
P78318	Q15843
P78318	Q9UMX5
P78318	Q9Y5Y2
P78318	O00151
P78318	Q96C90
Q96DM3	P11908
Q96CS3	Q9P035
P23284	Q96E11
P15559	Q9NQ39
Q9Y5S9	Q9GZT3
P78318	Q9UMY4
Q05519	Q9BSE5
Q15427	Q9Y4P3
Q15436	Q6YHU6
P78318	Q6ZVM7
Q5UIP0	Q9BVK6
P47897	Q9NXH9
P51668	Q96K21
P62837	O75312
P62987	O95218
Q7RTV0	P23246
Q9NZ45	Q9P0U1
P18583	Q01081
P60709	Q9ULV4
O43678	Q8N983
Q00325	P61353
O75400	P61513
Q12905	Q8WVM8
P82979	P04216
P56192	P24752
Q969X5	P04899
P07900	Q9UNL2
Q9H2U1	P06703
P19022	Q14197
P12236	Q96L21
P17844	P04004
Q6P2Q9	P04004
P06702	Q08945
Q01581	P14868
P25325	P47985
Q93009	Q6RFH5
P61978	P54578
Q96CS3	Q8TB36
Q96IR7	O43464
Q9BSJ8	P35580
Q9H2H8	O43865
Q05519	Q8NEM2
P41223	P18583
O75628	P50224
O75844	P57105
Q2TAA8	P68036
Q14254	P0C7P4
P40222	Q92890
Q8TAE6	Q96QK1
Q16831	Q969T9
Q96MX6	A6NFI3
Q8WWY3	Q14186
P62826	Q01081
P19338	Q15427
P60981	Q16270
Q96PK6	P11387
Q12906	P04004
Q16531	P12270
P68104	Q15366
P54105	P63000
Q9BZX2	Q16831
P42892	P51571
P49458	O96008
O43809	Q13426
Q86W42	Q6NZY4
Q12906	P31930
Q09161	Q8IUD2
Q08211	Q9Y2W1
Q9UHA4	P61106
Q9UI12	Q9Y277
P28331	O60313
Q14152	P52597
Q00325	P18031
Q9H0B6	Q9P270
O75937	Q9ULW0
Q15459	Q04837
Q01130	O14980
P43243	P06702
P52272	P18583
Q5SSJ5	P13473
P16989	O96000
Q15800	P29803
P24534	O60568
Q01518	Q9UL46
Q96IR7	Q5UIP0
Q00325	Q5T653
P29558	Q96EL3
Q5SSJ5	P62847
Q5SSJ5	P18583
Q96DM3	Q86UX6
O14979	Q8TF74
O94829	Q9C0E2
Q12905	Q8NAP8
Q5SSJ5	Q5BKZ1
P55769	P12270
P32969	Q99757
O75396	P51531
P49721	P11216
P46782	P09661
Q9NU22	Q8IZL8
Q13895	P23396
P62701	Q2NL82
Q9Y5M8	P09110
P10619	Q03405
P49006	P11234
Q92558	Q8WU90
O43390	P62266
P05141	P04843
P52824	Q16773
Q9UMR5	P62917
P54727	P42226
P20618	P48643
P46087	O76021
P50454	Q8TAP9
Q9UKX7	Q5T6F2
P51668	Q96S82
Q15393	Q9BVJ6
Q05519	Q6EMK4
Q14152	P04908
P62306	P53992
P82979	Q9UQ35
O43399	Q16881
Q9NRX4	P20962
P12235	Q10471
P23246	Q9UQE7
P20674	Q13151
Q12905	Q9Y2Q9
Q14677	P62857
Q15386	Q6RFH5
P50225	Q9UNE7
Q9BYN0	Q93008
Q16643	Q8NBS9
Q9UKD2	Q9P0L0
P11586	Q16540
Q12906	P63027
P09001	P62841
P08238	P62910
P25705	P23396
Q00325	O43674
P35241	P48553
P22061	O43447
O95182	Q9Y2Q9
P67936	Q15942
Q6I9Y2	O43314
Q92499	Q9NVK5
Q92542	O76021
Q96ER3	Q8TF72
Q92542	Q2TAY7
O43865	P09012
O43865	P23497
O43865	Q9BYN0
Q9UBT2	P50225
Q96IR7	Q16762
P24752	Q6PI78
O43865	O43399
Q9Y266	Q9NXH9
O43865	Q8N5M4
O94913	O14530
O43865	P51668
Q9P2J5	P22314
Q9UBT2	P63146
O43865	O95155
P35998	Q9Y3C8
O43865	Q9Y3C8
Q96ER3	Q9Y6N9
Q8NI27	O43709
O95071	Q15061
P49006	O43298
Q9Y4E8	Q5T200
P55769	Q5BKZ1
Q9Y6Y8	O00488
O43865	Q15942
P11586	Q9NSE4
P11586	Q9H9B4
P54105	O60664
Q99459	P62280
Q9BRR8	P62241
Q9P0U1	P47985
Q9Y676	Q15046
Q9Y676	P47897
Q7Z6Z7	Q6P2Q9
Q8NI27	Q8TBF4
O60828	P29558
Q96PK6	Q8N3U4
P49006	O43674
P49588	O43776
Q8WWY3	Q9HAU5
P78527	P67809
P14927	P62072
Q96PK6	Q9UI30
P25398	P63027
P84103	Q9P0U1
Q96PK6	Q15050
Q96PK6	P06702
P32320	Q5TC82
P62736	P49588
P04818	Q9NRR5
Q06830	P13489
O94782	P61964
P49588	P14868
Q8IVS2	Q15005
Q13423	Q9H488
P22061	P67936
P43307	P78371
P38919	O75494
Q12905	Q8N766
P60981	Q86V88
Q9NR30	P46087
Q14CX7	Q8IXQ6
Q8WYQ5	Q9NYT0
Q14978	Q13123
P56537	P18621
Q00325	Q9BYC9
P49006	Q9H2W6
P62906	P60903
Q2M296	Q9Y6Y8
Q9Y383	P62316
Q00839	Q53GS9
Q9H2H8	Q9NYL9
Q96CS3	P62995
O75643	Q5T4S7
Q00839	Q9BV38
Q9NRX1	P06400
P12236	Q8NHW5
Q9UK32	P23511
P12236	P02545
Q96FQ6	P16949
P49006	P11233
P28331	P53992
P39210	Q9NWU5
P62987	P45880
Q9C005	Q8WTS6
Q92520	O00161
P82912	Q9Y512
O75396	Q9UHD8
Q15070	O96008
Q9UBI6	P08581
O60506	Q13151
Q04941	P31949
Q92887	P43307
P63146	Q15942
P17066	Q8WVM8
P78527	O60264
Q9Y247	Q92769
Q15021	Q16626
P49411	Q5T653
Q9Y247	Q6P161
Q7RTV0	P60903
Q7KZF4	O75940
Q14657	Q99611
P38606	Q9Y5V0
Q9UHA4	P17568
Q9H0B6	Q15019
