PPI,ClusterSize,ClusterScore
cerebellum - Purkinje cells,8,0.476277831366
cerebellum - Purkinje cells,53,0.380796348409
cerebellum - Purkinje cells,8,0.661681703206
cerebellum - Purkinje cells,4,0.525786989923
cerebellum - Purkinje cells,4,0.617933289032
cerebellum - Purkinje cells,4,0.348100000178
cerebellum - Purkinje cells,4,0.6209653995
cerebellum - Purkinje cells,4,0.701589084323
cerebellum - cells in granular layer,237,0.287986236502
cerebellum - cells in granular layer,433,0.12815335634
cerebellum - cells in granular layer,1294,0.126281161932
cerebellum - cells in granular layer,1605,0.120503135021
cerebellum - cells in granular layer,307,0.104916004973
cerebellum - cells in granular layer,9,0.41513849558
cerebellum - cells in granular layer,127,0.102194574151
cerebellum - cells in granular layer,124,0.0654706772231
cerebellum - cells in granular layer,805,0.0601128173578
cerebellum - cells in granular layer,791,0.013990277856
cerebellum - cells in granular layer,137,0.138711806883
cerebellum - cells in granular layer,21,0.110763112381
cerebellum - cells in granular layer,53,0.216442939024
cerebellum - cells in granular layer,7,0.285041670454
cerebellum - cells in granular layer,37,0.0916680466307
cerebellum - cells in granular layer,5,0.240876228843
cerebellum - cells in granular layer,5,-0.159456046613
cerebellum - cells in granular layer,8,0.476277831366
cerebellum - cells in granular layer,53,0.380796348409
cerebellum - cells in granular layer,8,0.661681703206
cerebellum - cells in granular layer,7,0.3111174763
cerebellum - cells in granular layer,4,0.617933289032
cerebellum - cells in granular layer,4,0.348100000178
cerebellum - cells in granular layer,4,0.6209653995
cerebellum - cells in granular layer,4,0.701589084323
cerebellum - cells in molecular layer,232,0.289096177285
cerebellum - cells in molecular layer,325,0.129561217475
cerebellum - cells in molecular layer,602,-0.00283499666493
cerebellum - cells in molecular layer,1818,0.121113995373
cerebellum - cells in molecular layer,293,0.112596589497
cerebellum - cells in molecular layer,373,0.111635328859
cerebellum - cells in molecular layer,9,0.41513849558
cerebellum - cells in molecular layer,104,0.120601273464
cerebellum - cells in molecular layer,99,0.0588807995516
cerebellum - cells in molecular layer,861,0.0614587947127
cerebellum - cells in molecular layer,1060,0.126053364427
cerebellum - cells in molecular layer,4,0.502877992684
cerebellum - cells in molecular layer,179,0.0639876991758
cerebellum - cells in molecular layer,7,0.575635565005
cerebellum - cells in molecular layer,5,-0.159456046613
cerebellum - cells in molecular layer,31,0.463421913013
cerebellum - cells in molecular layer,8,0.476277831366
cerebellum - cells in molecular layer,55,0.339417077019
cerebellum - cells in molecular layer,8,0.661681703206
cerebellum - cells in molecular layer,4,-0.0716275673577
cerebellum - cells in molecular layer,4,0.617933289032
cerebellum - cells in molecular layer,4,0.348100000178
cerebellum - cells in molecular layer,4,0.6209653995
cerebral cortex - endothelial cells,231,0.289913589708
cerebral cortex - endothelial cells,386,0.123622011162
cerebral cortex - endothelial cells,343,0.011614537753
cerebral cortex - endothelial cells,1601,0.121251052848
cerebral cortex - endothelial cells,307,0.106957252582
cerebral cortex - endothelial cells,9,0.41513849558
cerebral cortex - endothelial cells,233,0.0623447281256
cerebral cortex - endothelial cells,36,0.167156709339
cerebral cortex - endothelial cells,773,0.0662798147222
cerebral cortex - endothelial cells,753,0.0158784618428
cerebral cortex - endothelial cells,1051,0.166061010874
cerebral cortex - endothelial cells,86,0.0649352681261
cerebral cortex - endothelial cells,21,0.110763112381
cerebral cortex - endothelial cells,7,0.575635565005
cerebral cortex - endothelial cells,124,0.140873099392
cerebral cortex - endothelial cells,5,-0.159456046613
cerebral cortex - endothelial cells,7,-0.0331285857563
cerebral cortex - endothelial cells,31,0.463421913013
cerebral cortex - endothelial cells,8,0.476277831366
cerebral cortex - endothelial cells,53,0.380796348409
cerebral cortex - endothelial cells,8,0.661681703206
cerebral cortex - endothelial cells,4,0.617933289032
cerebral cortex - endothelial cells,4,0.348100000178
cerebral cortex - endothelial cells,4,0.6209653995
cerebral cortex - endothelial cells,4,0.701589084323
cerebral cortex - glial cells,230,0.288954136244
cerebral cortex - glial cells,419,0.113251295506
cerebral cortex - glial cells,1192,0.131663366588
cerebral cortex - glial cells,1641,0.120431594118
cerebral cortex - glial cells,312,0.103428739223
cerebral cortex - glial cells,9,0.41513849558
cerebral cortex - glial cells,117,0.0972616056659
cerebral cortex - glial cells,101,0.0604292481449
cerebral cortex - glial cells,813,0.0638832583569
cerebral cortex - glial cells,829,0.0124435671506
cerebral cortex - glial cells,269,0.0684376050812
cerebral cortex - glial cells,54,0.21251479119
cerebral cortex - glial cells,6,0.248301132423
cerebral cortex - glial cells,7,0.575635565005
cerebral cortex - glial cells,5,-0.159456046613
cerebral cortex - glial cells,8,0.476277831366
cerebral cortex - glial cells,53,0.380796348409
cerebral cortex - glial cells,8,0.661681703206
cerebral cortex - glial cells,4,0.617933289032
cerebral cortex - glial cells,4,0.348100000178
cerebral cortex - glial cells,4,0.6209653995
cerebral cortex - glial cells,4,0.701589084323
cerebral cortex - neuronal cells,230,0.288954136244
cerebral cortex - neuronal cells,432,0.120760040882
cerebral cortex - neuronal cells,484,0.000476538208915
cerebral cortex - neuronal cells,1573,0.120953326554
cerebral cortex - neuronal cells,288,0.115678870952
cerebral cortex - neuronal cells,9,0.41513849558
cerebral cortex - neuronal cells,228,0.0552986004351
cerebral cortex - neuronal cells,115,0.0641325470992
cerebral cortex - neuronal cells,752,0.0670171115003
cerebral cortex - neuronal cells,727,0.0145976193499
cerebral cortex - neuronal cells,122,0.158424339691
cerebral cortex - neuronal cells,976,0.17421224082
cerebral cortex - neuronal cells,21,0.110763112381
cerebral cortex - neuronal cells,7,0.575635565005
cerebral cortex - neuronal cells,5,-0.159456046613
cerebral cortex - neuronal cells,31,0.463421913013
cerebral cortex - neuronal cells,55,0.339417077019
cerebral cortex - neuronal cells,8,0.661681703206
cerebral cortex - neuronal cells,4,0.525786989923
cerebral cortex - neuronal cells,6,0.516772256402
cerebral cortex - neuronal cells,4,0.617933289032
cerebral cortex - neuronal cells,4,0.348100000178
cerebral cortex - neuronal cells,4,0.6209653995
cerebral cortex - neuronal cells,4,0.701589084323
cerebral cortex - neuropil,838,0.0607839229373
cerebral cortex - neuropil,437,0.125451700269
cerebral cortex - neuropil,329,0.0121260087413
cerebral cortex - neuropil,1621,0.118191103763
cerebral cortex - neuropil,231,0.289913589708
cerebral cortex - neuropil,307,0.106022984525
cerebral cortex - neuropil,1158,0.14916314397
cerebral cortex - neuropil,9,0.41513849558
cerebral cortex - neuropil,805,0.014350837978
cerebral cortex - neuropil,99,0.126261491769
cerebral cortex - neuropil,96,0.0355251469904
cerebral cortex - neuropil,7,0.285041670454
cerebral cortex - neuropil,7,0.575635565005
cerebral cortex - neuropil,5,0.356444058138
cerebral cortex - neuropil,5,0.240876228843
cerebral cortex - neuropil,5,-0.159456046613
cerebral cortex - neuropil,32,0.457181291769
cerebral cortex - neuropil,53,0.380796348409
cerebral cortex - neuropil,17,0.172202032434
cerebral cortex - neuropil,8,0.661681703206
cerebral cortex - neuropil,8,0.476277831366
cerebral cortex - neuropil,4,0.617933289032
cerebral cortex - neuropil,4,0.348100000178
cerebral cortex - neuropil,4,0.6209653995
colon - glandular cells,877,0.0570969566127
colon - glandular cells,1837,0.122066667457
colon - glandular cells,411,0.0117835568625
colon - glandular cells,232,0.284272198798
colon - glandular cells,293,0.109659383631
colon - glandular cells,32,0.0695886182654
colon - glandular cells,9,0.41513849558
colon - glandular cells,250,0.136415412681
colon - glandular cells,819,0.00909884913336
colon - glandular cells,913,0.160900270849
colon - glandular cells,55,0.175233757318
colon - glandular cells,4,0.55542412224
colon - glandular cells,4,0.502877992684
colon - glandular cells,110,0.12168424283
colon - glandular cells,7,0.285041670454
colon - glandular cells,5,0.356444058138
colon - glandular cells,78,0.0633994803084
colon - glandular cells,5,0.240876228843
colon - glandular cells,5,-0.159456046613
colon - glandular cells,32,0.457181291769
colon - glandular cells,8,0.476277831366
colon - glandular cells,53,0.380796348409
colon - glandular cells,17,0.172202032434
colon - glandular cells,8,0.661681703206
colon - glandular cells,11,0.425253444557
colon - glandular cells,4,0.617933289032
colon - glandular cells,4,0.348100000178
colon - glandular cells,4,0.6209653995
colon - glandular cells,5,0.558183426548
duodenum - glandular cells,231,0.289913589708
duodenum - glandular cells,404,0.119115333703
duodenum - glandular cells,1190,0.135341592116
duodenum - glandular cells,1669,0.120568157855
duodenum - glandular cells,309,0.106834323053
duodenum - glandular cells,9,0.41513849558
duodenum - glandular cells,124,0.0906375392583
duodenum - glandular cells,101,0.0653295341958
duodenum - glandular cells,823,0.0631235353376
duodenum - glandular cells,822,0.00940812662914
duodenum - glandular cells,254,0.0643443730298
duodenum - glandular cells,15,-0.0035735824296
duodenum - glandular cells,6,0.248301132423
duodenum - glandular cells,7,0.575635565005
duodenum - glandular cells,5,-0.159456046613
duodenum - glandular cells,32,0.457181291769
duodenum - glandular cells,8,0.476277831366
duodenum - glandular cells,53,0.380796348409
duodenum - glandular cells,8,0.661681703206
duodenum - glandular cells,4,0.617933289032
duodenum - glandular cells,4,0.348100000178
duodenum - glandular cells,4,0.6209653995
duodenum - glandular cells,4,0.701589084323
epididymis - glandular cells,231,0.289913589708
epididymis - glandular cells,412,0.122294861691
epididymis - glandular cells,344,0.0148670640555
epididymis - glandular cells,1615,0.120086661573
epididymis - glandular cells,308,0.107146343593
